backend,model,physical_units,concurrency,repetition,requests,throughput_rps,mean_latency_ms,p50_latency_ms,p90_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,error_rate,timestamp_unix
docker,decision_tree,20,1,1,5000,790.846385181,1.240826355,1.256318000,1.300640000,1.312399400,1.340247240,7.940561000,0.000000000,1787757656.666318
docker,decision_tree,20,1,2,5000,654.769486923,1.496998740,1.595943500,1.657901700,1.669474650,1.709531780,6.808983000,0.000000000,1787757687.801034
docker,decision_tree,20,1,3,5000,656.176231407,1.493690650,1.594476500,1.659148000,1.673414850,1.707160250,7.109369000,0.000000000,1787757718.975011
docker,decision_tree,20,1,4,5000,789.657611650,1.242345222,1.251047000,1.295413600,1.308503550,1.336662280,7.616909000,0.000000000,1787757748.516395
docker,decision_tree,20,1,5,5000,652.240756157,1.502650606,1.599881500,1.657444900,1.671241000,1.704364940,7.304419000,0.000000000,1787757779.478641
docker,decision_tree,20,1,6,5000,651.615937597,1.504897820,1.598122500,1.655537200,1.667721950,1.697767730,6.940884000,0.000000000,1787757810.426716
docker,decision_tree,20,1,7,5000,788.332871814,1.244391839,1.259498500,1.307235300,1.319417650,1.343849320,8.115039000,0.000000000,1787757840.144996
docker,decision_tree,20,1,8,5000,654.007108856,1.499168525,1.580926000,1.634598200,1.646746600,1.674354270,6.633465000,0.000000000,1787757871.341821
docker,decision_tree,20,1,9,5000,710.410741557,1.380324862,1.327697000,1.644290400,1.657690300,1.696201650,15.144922000,0.000000000,1787757901.761894
docker,decision_tree,20,1,10,5000,650.076984250,1.507438497,1.603450500,1.666399700,1.686910450,1.837616850,8.059087000,0.000000000,1787757931.422087
docker,decision_tree,20,1,11,5000,716.912440520,1.367392133,1.290066000,1.652169900,1.669512450,1.703723310,6.610331000,0.000000000,1787757961.836817
docker,decision_tree,20,1,12,5000,656.633686718,1.492189039,1.587411000,1.655976800,1.670290750,1.715245710,6.591401000,0.000000000,1787757992.792367
docker,decision_tree,20,1,13,5000,792.918240769,1.237435224,1.251427500,1.296485200,1.308003600,1.334562690,7.949898000,0.000000000,1787758022.521515
docker,decision_tree,20,1,14,5000,653.973423626,1.499794933,1.587635000,1.642908500,1.657234500,1.688416270,6.376206000,0.000000000,1787758053.366664
docker,decision_tree,20,1,15,5000,661.295015563,1.482552773,1.578844500,1.644768300,1.657618700,1.692107630,6.569139000,0.000000000,1787758083.925612
docker,decision_tree,20,1,16,5000,674.931902624,1.452927571,1.528916500,1.642442200,1.657332600,1.696158460,6.494204000,0.000000000,1787758114.726220
docker,decision_tree,20,1,17,5000,644.760589995,1.520306570,1.609425000,1.664332900,1.677536400,1.715733560,6.279004000,0.000000000,1787758145.903663
docker,decision_tree,20,1,18,5000,649.417578058,1.509360855,1.596022500,1.655689200,1.668881200,1.699956780,6.849821000,0.000000000,1787758177.032747
docker,decision_tree,20,1,19,5000,794.371924470,1.235281784,1.252807000,1.299761600,1.310221800,1.333376140,7.989172000,0.000000000,1787758206.661429
docker,decision_tree,20,1,20,5000,664.978676277,1.473604103,1.569818500,1.637549800,1.651250300,1.689860520,7.053922000,0.000000000,1787758237.621498
docker,decision_tree,20,1,21,5000,651.860098083,1.503437393,1.595647000,1.648070200,1.660424800,1.696710340,7.209258000,0.000000000,1787758268.720337
docker,decision_tree,20,1,22,5000,644.534260545,1.519432157,1.611805000,1.665908300,1.679685000,1.713212080,7.400507000,0.000000000,1787758299.951075
